vcpus,memory,images,start_time,app_init,lib_init,anonymization,lib_anony,total_time
2,32,120,0,9.103657173,124.17936896,67.916414976,192.095783936,201.199441109
2,32,120,0,11.504957917,121.199655936,64.723900672,185.923556608,197.428514525
2,32,120,0,9.21421617,121.79432832,65.971334912,187.765663232,196.979879402
2,32,120,0,9.339161371,115.597154048,64.50287488,180.100028928,189.439190299
2,32,120,0,9.197537852,125.230731008,69.90460416,195.135335168,204.33287302
2,32,120,0,9.09767545,130.674947072,64.572251904,195.247198976,204.344874426
2,32,120,0,8.98426989,126.786440192,65.139606016,191.926046208,200.910316098
2,32,120,0,9.370563453,130.602508032,66.917261824,197.519769856,206.890333309
2,32,120,0,9.399204997,119.628246016,64.609442048,184.237688064,193.636893061
2,32,120,0,9.204583006,126.803319808,65.74391936,192.547239168,201.751822174
2,32,120,0,8.922026282,125.588116992,65.254530048,190.84264704,199.764673322
2,32,120,0,9.361519191,126.873107968,65.928334848,192.801442816,202.162962007
2,32,120,0,9.356672842,128.766611968,64.964020992,193.73063296,203.087305802
2,32,120,0,9.2247887,124.481366016,66.139812864,190.62117888,199.84596758
2,32,120,0,9.122946557,124.72573312,64.509078016,189.234811136,198.357757693
2,32,120,0,11.405728473,123.26212992,64.987815168,188.249945088,199.655673561
2,32,120,0,9.257863135,115.7964352,65.557904896,181.354340096,190.612203231
2,32,120,0,11.752183875,126.020621056,67.22606976,193.246690816,204.998874691
2,32,120,0,9.528960725,128.229711104,67.524715008,195.754426112,205.283386837
2,32,120,0,9.41131475,123.06760704,64.295584,187.36319104,196.77450579
2,32,120,0,9.41808699,120.46919808,68.271265024,188.740463104,198.158550094
2,32,120,0,9.795619278,124.43567488,64.883407104,189.319081984,199.114701262
2,32,120,0,9.536552287,116.508120064,67.2991808,183.807300864,193.343853151
2,32,120,0,9.571658417,122.627625984,64.624940032,187.252566016,196.824224433
2,32,120,0,9.268830138,115.885595136,77.034034944,192.91963008,202.188460218
2,32,120,0,9.813209881,121.091719168,68.386592,189.478311168,199.291521049
2,32,120,0,9.871091466,123.11458176,65.615275264,188.729857024,198.60094849
